标题,摘要,关键词,资金来源,DOI,原文刊载于,原文链接
[论文]孙宗锋 席嘉诚：数字化协同治理的类型及其逻辑——以政务服务“跨省通办”为例,数字化协同治理不仅仅是技术的简单应用，还蕴含着技术与组织的互动过程。技术赋能水平由技术调适度与组织适应度共同决定，结合政务服务“跨省通办”，构建了数字化协同治理议题下技术与组织的互构分析框架。基于技术调适度与组织适应度进行类型学分析，提出了“赋能失败”“组织牵制”“技术局限”与“互构融合”四种类型，对当前我国“跨省通办”的实践模式加以解读。研究发现，技术赋能实现数字化协同治理看似是复杂的技术问题，实则是以组织适应为核心的协同难题。数字化协同治理的关键在于组织自身结构的调整优化。,? ? ? ? 协同治理;数字政府;互构论;跨省通办;数字化协同;,? ? ? ? 山东省教育厅青创团队计划项目“数字政府转型的基础理论与实践模式”（项目号：2022RW003）；?山东省社会科学规划项目“健全共建共治共享的社会治理制度和提升社会治理效能研究”（项目号：22AWJ35）；,,电子政务.?2023(10),https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C45S0n9fL2suRadTyEVl2pW9UrhTDCdPD65TKYVWaWTfO8YW1U1mG7F3oSAbYg9kfuWMRS3IoR0AhpEWdGzfbhoo&uniplatform=NZKPT
[论文]孔新峰 张继超：儒家“礼”“刑”思想的现代诠释——以“礼不下庶人，刑不上大夫”为中心,"“礼不下庶人，刑不上大夫”源自《礼记》,曾出现在多种古典文献中，相关释义历来众说纷纭。系统梳理有关这句话的不同解读，可以发现，只有将“礼不下庶人”与“刑不上大夫”贯通理解，认识到“礼下庶人”,庶人“有其礼”;“刑上大夫”,大夫“用其刑”,方能明辨其中所蕴含的儒家德性政治传统。儒家思想具有鲜明的差等性，深刻体现于作为“治具”的“礼”与“刑”之中。差等性的“礼”与“刑”事关政治崇高性的重要问题，折射出以儒家思想立身的士大夫阶层竭力追求的中国古典政治中特有的德性要素。以礼为途径，以刑为辅助，至少从政治理念上打破了以血缘关系亲疏为量度的等级桎梏，试图疏通社会的“上下”乃至“内外”区隔，彰显了儒家德性政治理论的精髓。中国共产党人在百余年的接续奋斗中，对以儒家为主流的中华优秀传统文化进行创造性转化和创新性发展，提取、凝练与吸收了儒家“礼”“刑”思想中的精华成分，提出了对党员干部更高的德性与纪律要求，并充分运用于治国理政：发挥先锋作用，永葆先进本色；坚持人民至上，完善制度建设；勇于自我革命，全面从严治党。新的历史征程，必须贯彻落实好全面从严治党这一党的自我革命的伟大实践，深入推进新时代党的建设新的伟大工程。",? ? ? ? “礼-刑”观;礼不下庶人;刑不上大夫;德性政治;全面从严治党;,? ? ? ? 山东大学2022年度人文社科研究重大项目“儒家德性政治基础理论建构研究”(22RWZD15)；,10.13713/j.cnki.cssci.2023.05.007,贵州社会科学.?2023(05),https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7ioT0BO4yQ4m_mOgeS2ml3UO-APNBmopsfVV8ySB6ld5KRFOY2mBi_LvIytadg1vm6&uniplatform=NZKPT
[论文]刘昌明 赵敏：全球化的新部落主义转向：特征、动因及影响,后现代社会理论的新部落主义指出了部落化社会的三个主要特征：超越个体主义的部落式共同体的结成、非理性的联系纽带和一体化社会的解构。而当前全球化发展也呈现出同样的部落化特征与态势。西方从再国家化的单边主义行动方式转向结成联盟性的部落，成员忠诚于部落而排外。以泛安全化、泛政治化和价值观等为主要形式的非理性联系纽带在结成部落的过程中发挥了主要作用。世界各领域部落化的演进趋势逐步导致全球融合发展的一体化格局被解构。全球化的新部落主义转向是西方因应世界百年变局对内政策调整、对外护持霸权的自救行为所致，而各种社会思潮又在客观上起到了推波助澜的作用。它在客观上固化和加剧了大国竞争格局、倒逼区域一体化和世界多极化进程，并在阈限期中孕育着全球化的新模式。,? ? ? ?新部落主义;全球化;部落化;非理性纽带;,国家社会科学基金重点项目“全球治理新态势与中国全球治理能力建设研究”（20AZD105）；,,探索与争鸣.?2023(07),https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50kYCQmgIBETVeEoE9fOFRPSFneSQVvJL1oVXToE6L65fuLJfgXdvOUZ&uniplatform=NZKPT
[论文]周丕启 王乔：净评估与美国竞争战略,净评估是冷战时期美国出现的一种战略评估理论，对美国的竞争战略产生深远影响。随着中美竞争日趋激烈，这种评估理论引起国内学者的关注。净评估具有独特的运行机理、基础模型和实施规则；国家竞争战略是关于利用竞争优势夺取竞争主动权的规划，受到多种因素影响，战后国家竞争战略出现变化。净评估从战略目标、竞争优势和战略路径等方面，推动战后美国国家竞争战略转型。净评估对美国对苏联的战略竞争规划的影响主要体现在美苏战略竞争趋势研判、美对苏战略竞争目标判定、美苏战略竞争优劣势剖析、美对苏战略竞争路径选择等方面。净评估推动了美国赢得对苏战略竞争。美国竞争战略中的净评估对于我们今天认识美国对华战略竞争具有重大的启示。,? ? ? ?美国军事与外交;对外战略;竞争战略;净评估;大国竞争;,,,"美国研究.?2023,37(04)",https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50m0Qp1cqy1Qz9ZXzYwVE2771U1ziUilI8CKTL3CTsuPuiw51qQWsOlH&uniplatform=NZKPT
"[论文]Huang, Q (Huang, Qing); Liu, HX (Liu, Huaxing)： How Does Paternalistic Leadership Enhance Civil Servants' Public Service Motivation? The Mediating Mechanism of Trust in Leader","The field of public leadership studies has witnessed limited research on paternalistic leadership (PL) and its impact on civil servants. The present study draws upon a questionnaire survey of 2,064 Chinese civil servants to explore the impact of administrative leaders' PL styles on civil servants' public service motivation (PSM) and the mediating mechanism that underlies its effects. When PL is exercised in a benevolent or moral style, it intensifies subordinates' PSM. But authoritarian behavior, whether used separately, or in combination with another style (as in benevolent-authoritarian, moral-authoritarian or benevolent-moral-authoritarian leadership), showed an insignificant effect on PSM. In addition, trust in leader mediates the relationship between benevolent, moral and AL styles and subordinates' PSM. Our findings suggest that even in an authoritarian-oriented society such as China, the authoritarian variant of PL is increasingly losing its influence, and moral and benevolent leadership have become more important in modern organizations, and should be the primary leadership strategies employed by government leaders.",paternalistic leadershippublic service motivationtrust in leadercivil servants,,10.1177/00953997231186994,ADMINISTRATION & SOCIETY?.?OCT 2023,https://www.webofscience.com/wos/woscc/full-record/WOS:001041333900001
"[论文]Li, YW (Li, Yanwei):Is hierarchy the only answer? The accountability preferences of Chinese public employees in public service delivery","This contribution applies the Q methodology to investigate Chinese public employees' accountability preferences under different accountability relationships in delivering public services. We identify four accountability preferences: a vertically oriented accountability, a network-style accountability, a style of accountability between market and participatory accountability, and a vertically oriented style of market accountability. Our data show that Chinese public employees hold varied accountability preferences in public service delivery, and hierarchy is a relatively popular one. It is suggested that governors should effectively align different accountability relationships with the aim of better steering the behavior of public employees in public service delivery.",accountability preferenceChinapublic service deliveryQ methodology,,10.1111/ropr.12531,REVIEW OF POLICY RESEARCH?.?Early Access?JUN 2023,https://www.webofscience.com/wos/woscc/full-record/WOS:001000031500001
"[论文]Li, YW (Li, Yanwei); Song, YP (Song, Yunpeng)：Contingent coordination in crisis: Experiences of Qingdao control command in governing COVID-19 in China","Coordination is one of the most challenging crisis management issues governments face worldwide. In this contribution, we examine the coordination mechanism applied by Qingdao control command in China to fight against COVID-19. Its coordination is implemented contingently via five different approaches: achieving compromises through a centralized tiered meeting system, developing standard operating procedures through issuing documents, encouraging pragmatic problem-solving through improvisation, establishing routines through finding shortcuts, and following commands and suggestions from higher-up. Two perspectives, the structural-institutional and cultural perspectives, have been applied to explain the choice of the contingent coordination mechanism. Our study contributes to the existing crisis coordination literature through substantiating the approaches underlying contingent coordination and providing a preliminary explanation of it.",control commandcoordinationCOVID-19crisis management,,10.1111/1468-5973.12453,JOURNAL OF CONTINGENCIES AND CRISIS MANAGEMENT.?SEP 2023,https://www.webofscience.com/wos/woscc/full-record/WOS:000942470500001&uniplatform=NZKPT
[论文]李昕蕾 刘小娜：欧盟清洁能源供应链重塑的地缘化转向,近年来，欧盟加速对其清洁能源供应链进行重塑，从效率优先转为安全优先，在“政府之手”干预下，其供应链的政治化与地缘化转向日益明显。其背后动因来自欧盟在全球清洁能源供应链中的相对劣势地位与安全压力，国际格局变迁对欧盟安全威胁认知的强化，以及全球零碳竞赛对清洁能源供应链地缘政治效应的放大。在地缘政治逻辑驱动下，欧盟清洁能源供应链的重塑路径主要体现为：推动供应链本土化发展，打造战略自主的绿色工业体系；通过单一市场体量优势推动绿色单边立法，凸显自身在绿色供应链标准规则塑造中的主导力；不断拓展清洁能源供应链中的盟友体系和战略伙伴关系。鉴于欧盟在全球气候能源治理中的重要地位，其供应链重塑战略将对全球能源地缘格局变迁产生不可小觑的影响：不仅加速了全球清洁能源供应链的本土化和保守化发展，加剧了供应链重塑中的安全化与阵营化趋势，还导致清洁能源供应链的技术竞争和资源争夺更为激烈，其中，发展中国家清洁能源产业所面临的绿色标准和规范制约不断强化。,清洁能源供应链;欧盟;能源转型;关键矿产;地缘博弈;,2021年度国家社科一般项目“中国积极参与全球清洁能源治理体系变革的战略研究”（项目编号：21BGJ047）；?2021年度山东大学人文社科重大研究项目“绿色‘一带一路’推动全球气候能源治理转型研究”（项目编号：21RWZD17）的阶段性成果；,? ? ? ? 10.13549/j.cnki.cn11-3959/d.2023.05.004,国际论坛.?2023(05),https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50kyWlu-jfbBIkJKvSkT6PIfyxsEaLLbJ772trA9qSGb07Y8gHkcHsdZ&uniplatform=NZKPT
[论文]张乐 李森林：信息通信技术普及中的民生风险感知转变,"信息通信技术的普及应用产生了复杂的社会影响。基于中国家庭追踪调查数据,从多个维度构建民生风险感知指标,采用多元回归、固定效应模型以及工具变量法探究了公众的互联网使用行为与民生风险感知的关联性。研究结果表明:第一,信息通信技术的普及对公众民生风险感知的转变产生了深刻影响,互联网使用行为显著增强了个体的民生风险感知水平。第二,互联网对民生风险感知的强化效应在不同群体间存在程度上的差异,其强化效应在中高收入和中老年群体以及城镇地区更加明显。第三,在环境保护、医疗、教育和贫富差距等领域的民生风险感知转变过程中,互联网发挥的强化效应更为突出。",信息通信技术;民生风险感知;互联网使用;风险放大;,国家社会科学基金重点项目(20ASH009)；?山东大学人文社科重大项目(21RWZD18)； 山东大学政管学院研究生科研基金资助；,10.16192/j.cnki.1003-2053.20220315.001,科学学研究.?2023(02),https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7ioT0BO4yQ4m_mOgeS2ml3UEnQTTKaDrvC9A3tb7oZizZp31F4nhE4HTix4unEQczw&uniplatform=NZKPT
[论文]钟诚：重新找回“政治”：当代“政治鲁迅”研究的知识背景、路径及面临的挑战,“政治鲁迅”研究有新旧之分。不同于旧“政治鲁迅”研究的“启蒙”与“革命”话语，当代的“政治鲁迅”研究致力于在1980年代以来鲁学界建立的“主体性”传统基础上继续寻求研究主题和方法层面的突破。以人文学与社会科学的关系作为认识论基础来观察当代“政治鲁迅”研究，有助于研究者自觉认知自身思想学术探索的知识背景。目前“政治鲁迅”研究并没有形成统一的方法论，介入这一领域的学者分别从文化政治、文学政治以及政治文化、微观规则等路径来展开具体的研究。不同路径之间的学术交锋可以促成研究范式的整合与深化，但迄今，直接的学术辩论尚不多见。当代“政治鲁迅”研究进一步发展面临的挑战主要有：一、人文学界的“政治”理解如何与社会科学界的政治概念有效对话；二、如何避免陷入纯粹的“学院化”陷阱，进而保持鲁迅研究与现实对话的能力；三、如何跳出既有话语框架，重新思考文学与政治的关系。为应对挑战，当代“政治鲁迅”研究可以从相对较成熟的“东亚鲁迅”思想传统中汲取灵感。,政治;“政治鲁迅”;社会科学;微观规则;“东亚鲁迅”;,国家社会科学基金重点专项资助项目（项目编号：21VGQ026）的阶段性成果；,10.16287/j.cnki.cn11-2589/i.2023.08.005,中国现代文学研究丛刊.?2023(08),https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJutOehf2D0XouCH-lhM6pGz-mNYc7Dpf8Pdl_Pr72UQ_OEf8Io6AD7h0z8tRGzTr7t&uniplatform=NZKPT
[论文]陈仁兴：积极福利视角下残疾人共同富裕的实现路径,中国式现代化的本质要求是实现全体人民共同富裕的现代化，能否实现残疾人在物质和精神层面的共同富裕成为衡量中国式现代化的重要指标。由于可行能力较弱、社会支持体系不健全以及社会基础相对薄弱等因素，残疾人返贫风险较高，共同富裕面临诸多挑战。积极福利的政策构想为探讨残疾人共同富裕议题提供了理论进路。一方面，在国家层面进行自上而下的积极干预和社会建设，推动社会救助转向社会投资战略，构建以残疾人家庭为核心的社会支持体系，创新发展残疾人社区康复工作，促进基本公共服务可及性与均等化。另一方面，在个体与社会层面进行自下而上的共同体建设，增强残疾人群体的可行能力，激发残疾人社会组织活力，充分发挥慈善公益力量，建设残疾人友好型社会。,残疾人;共同富裕;积极福利;社会建设;,国家社会科学基金重大项目“中国残疾人家庭与社会支持机制建构及案例库建设”(17ZDA116)；?教育部哲学社会科学研究重大课题攻关项目“全面建成小康社会伟大历史性成就与经验研究”(21JZD014)；,,中州学刊.?2023(09),https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50k-ilRrCm3zu4SwJr8VKWkgl5W4vBlFzaBJDJDPTRdAqD4Ojf3AEG8N&uniplatform=NZKPT
[论文]杨志 曹现强：地方政策再创新的策略类型及生成机理——基于从“河长制”到“X长制”演化过程的追踪分析,“河长制”在实现跨治理主体“空间扩散”的同时，亦实现了跨治理场景的“理念外溢”，催生出湾长制、林长制及多长合一等“X?长制”样态。研究发现，“X长制”生成过程可由以“目标+工具”为内核的“政策再创新”概念进行表达，其本质是政策源创新的核心理念作为有效治理工具，在多维治理场景中持续外溢并达成特定治理目标的过程。根据场景目标的复杂性和工具选择的多样性，可将其划分为单域移植、原域优化、跨域组合及全域整合四类样态。作为一种政策再生产的主动性建构策略，政策再创新遵循“目标建构-工具选择-场景创设”的一般过程路径，其异质性政策内容演化结果受“争先”与“求异”双重逻辑驱动。概言之，政策再创新的多重衍生路径勾绘出地方政策再生产的繁荣图景，但其中潜藏的创新内卷及治理负荷过载等现象亦值得警惕。,地方政府；政策再创新；政策再生产；理念外溢；政策扩散,国家社科基金青年项目“爆发式政策扩散潜在风险识别与防范化解机制研究”（22CGL069）；山东省社科规划青年项目（22DZZJ02）；山东省自科基金青年项目（ZR2023QG158）,10.19735/j.issn.1006-0863.2023.07.12,"中国行政管理. 2023,(07).",https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50kOecLhPLiu5g0K1BvFVDKoNbEQm7Ieg4jcc7_A5H7Bjbt3bLseNIFs&uniplatform=NZKPT
"[论文]Sheng, Li; Yin, Yechang; Zhang, Anning;Wu, Jiwei; Yang, Ziqing：Modelling casino hospitality business cycles","This study decomposes the casino hospitality business cycles of Las Vegas and Macao into high -growth states (HGS) and low-growth states (LGS) using a Markov switching model. The casino gaming sector in Macao experiences greater fluctuations than the sector in Las Vegas due to more volatility in tourism flows; that is, Macao has a slightly higher HGS and a considerably lower LGS than Las Vegas. Las Vegas's hospitality cycle appears to be more robust than Macao's, although both hospitality cycles are desirably asymmetric. Various factors, including external business cycles and supply-side factors, affect local hospitality cycles. In terms of policy suggestions, the study's results suggest that promotional marketing must be strengthened in Las Vegas, and Macao must diversify its industrial base.",business cyclehospitality cyclecasino gaming,,10.15611/aoe.2023.1.02,ARGUMENTA OECONOMICA.?2023,https://www.webofscience.com/wos/woscc/full-record/WOS:000996510900002
"[论文]Mi, Xue：Mapping Continuity and Change in German Strategic Culture, 1999-2022","This article investigates German foreign and security policy from 1999 to 2022 through the prism of strategic culture. In contrast with previous studies on German strategic culture, this article employs a mixed research design to examine areas showing major changes and areas of relative continuity. By using NVivo's two analytical tools (word frequency analysis and matrix coding analysis), the article conducts a computer-based content analysis of German official strategic discourses in the foreign and security realm. The findings reveal that although some of the foundational elements have been preserved and further strengthened, German strategic culture appears to have exhibited more changes since 2014, particularly in terms of the geographical scope of security concerns, perceptions of key threats and Russia. The article argues that Germany's understanding of security has shifted towards a normative dimension that places greater emphasis on values and rules, and that Germany's security concerns are no longer confined to European regional security but rather extend further afield.",FOREIGN-POLICYUKRAINE CRISIS,,10.1080/09644008.2023.2232308,GERMAN POLITICS?.?JUL 2023,https://www.webofscience.com/wos/woscc/full-record/WOS:001019802800001
[论文]孙宗锋 席嘉诚：数字化协同治理的类型及其逻辑——以政务服务“跨省通办”为例,数字化协同治理不仅仅是技术的简单应用，还蕴含着技术与组织的互动过程。技术赋能水平由技术调适度与组织适应度共同决定，结合政务服务“跨省通办”，构建了数字化协同治理议题下技术与组织的互构分析框架。基于技术调适度与组织适应度进行类型学分析，提出了“赋能失败”“组织牵制”“技术局限”与“互构融合”四种类型，对当前我国“跨省通办”的实践模式加以解读。研究发现，技术赋能实现数字化协同治理看似是复杂的技术问题，实则是以组织适应为核心的协同难题。数字化协同治理的关键在于组织自身结构的调整优化。,协同治理;数字政府;互构论;跨省通办;数字化协同;,山东省教育厅青创团队计划项目“数字政府转型的基础理论与实践模式”（项目号：2022RW003）；?山东省社会科学规划项目“健全共建共治共享的社会治理制度和提升社会治理效能研究”（项目号：22AWJ35）；,,"电子政务.?2023,(10)",https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C45S0n9fL2suRadTyEVl2pW9UrhTDCdPD65TKYVWaWTfO8YW1U1mG7F3oSAbYg9kfuXPp2IoWyX0pfRYSDxTif6R&uniplatform=NZKPT
[论文]张乐 李森林：知识、理解与信任：个体对人工智能的信任机制,我国新一代人工智能发展中的不确定性让其面临着社会信任的挑战。本文的数据分析表明，知识、理解和信任之间确实存在着显著的关系，个体对不同类型知识的掌握程度的差异显著影响了其对人工智能的信任水平，自然科学知识和新技术知识发挥了“因知而信与因懂而信”的促进效应，而人文社会科学知识却没有明显地表现出“因知而疑”的反思功效；个体基于理解所形成的有关人工智能伦理合规性的主观评价则发挥了中介作用。本文为重新认识“公众理解科学”研究范式的价值、回应学界争议提供了理论佐证，也为人工智能相关政策的制定与优化提供了现实参考。,? ?人工智能;技术信任;科技伦理;公众理解科学;科学与社会;,国家社科基金重点项目“人工智能发展中的社会风险及适应性治理研究”（20ASH009）；?山东大学人文社科重大项目“防范化解数字化转型中的重大社会风险研究”（21RWZD18）；,,"社会学评论.?2023,(03)",https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7ioT0BO4yQ4m_mOgeS2ml3ULGTNeQ2kWuRnIGC2o0fm0Ia0aNTcg1QDicWgydB60fP&uniplatform=NZKPT
[论文]张乐 李森林：民生风险感知如何影响捐赠行为？——基于CFPS数据的实证分析,以慈善捐赠为代表的第三次分配在推动共同富裕中的价值日益凸显，有效引导和支持人们积极参与慈善捐赠成为一个重要议题。研究发现，民生风险感知显著促进了以家庭为单位的捐赠行为，公众受教育水平能够对这种促进效应起到正向调节作用，但家庭经济水平并未发挥显著调节作用。民生风险感知对慈善捐赠的影响效应在加入工具变量的内生性讨论和替换变量度量方式的稳健性检验中依然存在。上述结论澄清了风险情境下个人与社会互构共变关系的形成过程、依存条件和发生机制的理论意涵，为推进我国第三次分配制度改革与社会福利政策调整提供了有益参考。未来可以从民生风险治理、社会责任认知、慈善文化建设和完善第三次分配制度的配套社会政策体系等多个方面发力，促进我国慈善事业积极健康发展。,? ?民生风险感知;个人与社会;互构共变;第三次分配;慈善捐赠;,教育部哲学社会科学研究重大课题攻关项目“全面建成小康社会伟大历史性成就与经验研究”（21JZD014）；,10.19836/j.cnki.37-1100/c.2023.04.007,"山东大学学报(哲学社会科学版).?2023,(04)",https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50kUZdU7xpfjiFBOw_mcFQDPY6Thm8AfqU_yBK2Z0I3GMMvetiq7p7q4&uniplatform=NZKPT
[论文]曹现强，卓文昊：共享视角下乡村公共服务供给的作用机制,摘要：乡村公共服务供给正逐步向着高质量供给方向发展，但在供给主体、供给能力和供给方式等方面仍然存在问题。共享经济强调有效利用闲置资源，倡导“使用而不占有”理念，邻里互助共享具有稳定性的长效机制，可以在乡村养老服务、公共安全服务等领域发挥优势。共享经济通过互联网平台，以最低成本将碎片化的闲置资源合理匹配整合，实现社会效益最大化，不同类型的平台共助共享共同成为推动乡村公共服务供给的重要载体。大众共建共享的乡村公共服务供给要重视大众参与过程，重视价值追求，激发村民参与意愿；要通过乡村社会组织等组织化形式，完善配套机制，提升乡村公共服务供给的水平。,乡村振兴;公共服务供给;作用机制;共享经济;,国家社会科学基金重大项目“中国基本公共服务供给侧改革与获得感提升研究”（16ZDA080）;国家社会科学基金一般项目“‘共享’理念视域下的包容性城市治理研究”（16BZZ049）；,DOI：10.13624/j.cnki.jgupss.2022.02.007,"广西大学学报(哲学社会科学版).2022,44(02)",https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFDAUTO&filename=GXZD202202014&uniplatform=NZKPT&v=_qbs8fpQ23g_keHd-7VPPhchuzjaO4vsvzQkmpimnbyvnFJ8R80lc7LIlK_IWuo7
[论文]邢占军；胡文静:我国居民幸福感的变迁（2002—2019）:一项横断历史元分析,"摘要：本研究通过对2002—2019年95篇采用《中国城市居民主观幸福感量表》（SWBS-CC）评价我国居民幸福感的研究文献进行的横断历史元分析（N=87024）,考察了我国居民幸福感的历时性变化趋势，对影响幸福感的社会宏观因素进行了分析。结果表明，我国居民幸福感总体呈上升趋势；居民幸福感的年代变化受地区和性别影响明显，东部地区居民幸福感提升幅度明显高于中西部地区；与女性相比，男性居民幸福感的年代效应更为明显。滞后分析显示，经济发展、社会和谐、生活质量、文化教育等社会宏观变量对居民幸福感变化存在明显影响。",居民幸福感; SWBS-CC; 横断历史元分析; 社会宏观因素;,教育部哲学社会科学研究重大课题攻关项目“全面建成小康社会伟大历史性成就与经验研究”（项目编号：21JZD014）的阶段性成果；,,"山东社会科学. 2022,(05)",https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFDAUTO&filename=SDSK202205015
[论文]邢占军，曹玉梅，王晓武：志愿服务组织有效性的维度及影响机制研究,摘要：志愿服务组织是创新社会治理的重要载体，其有效性直接关系到社会治理效果。以志愿服务强省山东省志愿服务组织为对象，综合使用扎根理论和结构方程模型探讨志愿服务组织有效性的评价指标与影响机制，结果显示：志愿服务组织有效性由组织发展、公众倡导和治理功效三个维度组成。组织活力是影响志愿服务组织有效性提升的直接因素，受到制度环境和社会资本的双重影响。为提升志愿服务组织的有效性，政府部门需要积极完善相关制度和措施，志愿服务组织应该积极构建纵向和横向社会资本。,志愿服务组织有效性;组织发展;公众倡导;治理功效;组织活力;,教育部哲学社会科学研究重大课题攻关项目“全面建成小康社会伟大历史性成就与经验研究”（21JZD014）；,,"厦门大学学报(哲学社会科学版). 2022,72(03)",https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFDAUTO&filename=XMDS202203013&uniplatform=NZKPT&v=uGeh5Lf-ff0ou2JRaSPgHoDrUazmPPGp3O3YWxqMoyHY1Zbxuv-qdcqlHwmj9l4_
[论文]李盺蕾：全球海洋环境危机治理：机制演进、复合困境与优化路径,近年来，全球海洋环境危机发生的频度与烈度不断上升，其强破坏性、难预测性、跨国扩散性和连带性等特点，导致任何国家都无法独立应对，需要从全球层面开展危机合作与治理协调。全球海洋环境危机可分为灾害性、生态性和资源性三类，面对各类新型海洋环境危机的出现，治理规范与国际标准存在许多空白，因此海洋环境危机治理已成为全球规则竞争的焦点。同时，气候变化加剧、人类开发国际海底步伐加快、南北国家危机应对能力差距拉大等都使全球海洋环境安全管理陷入复合困境，凸显为危机系统纽带性与治理碎片化、资源开发与生态保护、南北协同与技术博弈等一系列矛盾。建筑共商、共建、共享的海洋命运共同体，中国需要持续加强参与全球海洋环境危机治理的能力建设，不断推进危机治理新领域的标准与规则制定，以最终建立系统性、长效性的全球海洋环境危机协作机制。,海洋环境;危机治理;海洋安全;海洋命运共同体;,国家社会科学基金一般项目“中国积极参与全球清洁能源治理体系变革的战略研究”（21BGJ047）； 2021年山东大学人文社科重大研究项目“绿色‘一带一路’推动全球气候能源治理转型研究”；,DOI：10.16524/j.45-1002.20220429.001,"学术论坛. 2022,45(02)",https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFDAUTO&filename=XSLT202202001&uniplatform=NZKPT&v=7-ZR-ZIrf9PUoSI_aD7SwfchRBd8Bc3V0dbNdgiUR9GjGFO4IEO5RI9o8cg8lHOa
[论文]孔新峰：先秦儒家德性政治理论的初步重构,儒家德性政治观念在当代中国国家治理与社会治理中的“存活现象”所在多有，堪称中国政治“活着的传统”，亦构成中国本位政治理论构建的枢轴环节。在厘清“前诸子时期”关于德性政治的思想脉络的基础上，从先秦儒家原典及近人论著之中，可以爬梳提炼出先秦儒家德性政治理论的七条原理性认知，即：正德—天命正当论、利用—以义为利论、厚生—生民民本论、敬简—君道无为论、制度—礼法合治论、尚贤—贤能主治论及风化—天下文明论。,先秦儒家;德;德性政治;中国政治理论;,,,"孔子研究. 2022,(03)",https://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFDAUTODAY&filename=KZYJ202203003&uniplatform=NZKPT&v=MWf3EvFFB9rN-dSLXcHqCIAIirKOA1bMH2N13UGouCWNL_m5uLL-ppBLf1jazB20
[著作]李进涛：《京津冀地区乡村转型发展路径测度与模式优化》,"改革开放以来，我国城镇化快速发展,重城轻乡的发展政策促使城乡差距拉大,村庄空心化、农村主体老弱化、乡村环境污损化等问题日益明显。在新时期,城乡一体化、精准扶贫、乡村振兴逐渐成为促进乡村发展的重大战略，而乡村转型发展则是实现农民脱贫致富、乡村振兴和城乡融合的重要途径，对改善乡村人口、土地、产业等要素配置水平具有重要的现实意义。本书以京津冀地区147个县(区)为例，采取定性与定量相结合的研究方法，系统分析了1990年、2000年、2010年和2015年4个时间阶段京津冀地区县域乡村发展度与转型度，及其耦合协调性；利用多元回归模型和地理探测器、欧氏距离与引力模型构建了乡村转型发展路径模型，测度了时间与空间驱动因素对乡村转型发展作用的内力与外力，并划定了内生发展、外部城市带动和内外结合等3种县域乡村转型发展模式;通过对天津市静海区、河北省阜平县和北京市密云区3个典型县域进行村域尺度的乡村转型发展特征及模式调查分析,结合京津冀地区的功能区定位,预测模拟了京津冀地区2020年和2030年人口、土地和产业等要素的空间分布；基于上述研究结果，分别对核心引领区、重点拓展区和稳定涵养区搭建了乡村转型发展优化模式框架图，并为乡村转型发展模式的稳定、可持续发展提出科学的保障机制。",,,,,
